case_id,case_group,outcome,prompt_id_short,prompt_id,label,pred_label,p_pass_mean,p_pass_std,num_constraints,length_bin,cluster,hard_constraint_focus,instruction_ids,constraint_family_signature,source_dataset,base_key,case_note
E01,High-confidence TP,TP,26dea49c30ad,26dea49c30adbe444021d9797d60d0727737104b85c6afd5aeb788a5bb0001df,1,1,0.9678,0.005,1,001-128,0,,detectable_format:title,detectable_format,ifeval,ai2-adapt-dev/tulu_v3.9_wildchat_100k_30121,High-confidence TP
E02,High-confidence TP,TP,5761bb80f022,5761bb80f022a8d0a89bc8c168083c0dd079e4be823d376461a0f3933de0c944,1,1,0.9678,0.0068,2,001-128,0,,detectable_format:title|keywords:existence,detectable_format|keywords,ifeval,ai2-adapt-dev/numinamath_tir_math_decontaminated_39057,High-confidence TP
E03,High-confidence FP,FP,d9018ce1fea1,d9018ce1fea138442aef7c7e96a26d28dcc372c97d646b570cff4f70e2f43530,0,1,0.9685,0.0065,1,129-256,21,,detectable_format:title,detectable_format,ifeval,ai2-adapt-dev/tulu_v3.9_synthetic_finalresp_wildguardmixtrain_decontaminated_50k_44993,High-confidence FP
E04,High-confidence FP,FP,a1ce25f3bf94,a1ce25f3bf943e940bb1180c7b44fe2799f45d73c2a90b20d7b09ae51864e3ca,0,1,0.9678,0.0047,1,001-128,9,,keywords:no_adjacent_consecutive,keywords,ifeval,ai2-adapt-dev/tulu_v3.9_wildjailbreak_decontaminated_50k_33320,High-confidence FP
E05,High-confidence FN,FN,2366118e2d10,2366118e2d108e310813e853e969a95f5ff0cadf13bef21b2157a44625e925f5,1,0,0.0056,0.0033,4,001-128,1,,keywords:no_adjacent_consecutive|startend:end_checker|first_word:first_word_answer|count:count_unique,count|first_word|keywords|startend,ifeval,ai2-adapt-dev/tulu_v3.9_synthetic_finalresp_wildguardmixtrain_decontaminated_50k_21282,High-confidence FN
E06,High-confidence FN,FN,a30db5774417,a30db577441796e829e40494fcc5310096d6dbe95fe296daa8eae6973809ee92,1,0,0.0066,0.0009,2,257-512,21,,keywords:word_once|detectable_format:square_brackets,detectable_format|keywords,ifeval,ai2-adapt-dev/evol_codealpaca_heval_decontaminated_10369,High-confidence FN
E07,High-confidence TN,TN,1a2e9298819a,1a2e9298819a8d0494d11d5b833e5b7d65bb9cf9ddf0b34bbc8186b86d15cac5,0,0,0.0024,0.0002,4,001-128,4,,copy:copying_simple|count:counting_composition|count:lowercase_counting|keywords:no_adjacent_consecutive,copy|count|count|keywords,ifeval,ai2-adapt-dev/tulu_v3.9_wildjailbreak_decontaminated_50k_22961,High-confidence TN
E08,High-confidence TN,TN,c75e06ed4605,c75e06ed4605a1dc54f76a6663d2bbcf6535d75da120efa879b38742fdd648e9,0,0,0.0024,0.0004,2,129-256,4,,copy:copying_multiple|count:counting_composition,copy|count,ifeval,personahub_hz6ydk291hw08sa5ggq1xf84,High-confidence TN
E09,Hard constraint,FN,419aff8c6a8d,419aff8c6a8d52f9755394d22b7b46be039c8d58f70c5f6c56430b658e286c68,1,0,0.0375,0.0121,2,257-512,19,length_constraints:nth_paragraph_first_word,keywords:word_once|length_constraints:nth_paragraph_first_word,keywords|length_constraints,ifeval,personahub_hs0iaapz5x7fe26rhb0kxpt7,Low per-constraint M3 AUPRC region: length_constraints:nth_paragraph_first_word
E10,Hard constraint,FN,d6f46faf5733,d6f46faf5733711214121cd694ea6fcf59ad49399ebbbde0ca1ee8cc75f2c34a,1,0,0.029,0.0025,3,129-256,2,detectable_format:sentence_hyphens,startend:quotation|detectable_format:sentence_hyphens|keywords:word_once,detectable_format|keywords|startend,ifeval,ai2-adapt-dev/numinamath_tir_math_decontaminated_31135,Low per-constraint M3 AUPRC region: detectable_format:sentence_hyphens
E11,Hard constraint,FN,67373ef5b455,67373ef5b455707dda2d9be96d49cb5c8f18c11515f1108f80eda71d0567bcc9,1,0,0.0074,0.0041,1,001-128,4,copy:copying_multiple,copy:copying_multiple,copy,ifeval,ai2-adapt-dev/numinamath_tir_math_decontaminated_17232,Low per-constraint M3 AUPRC region: copy:copying_multiple
E12,Hard constraint,FN,795d30a9ea1e,795d30a9ea1e8e6cc0c0a1fcd43978c2ed215fb50e2efd8d4d325805ea5a70f5,1,0,0.0463,0.0442,3,001-128,9,first_word:first_word_sent,keywords:no_adjacent_consecutive|keywords:start_end|first_word:first_word_sent,first_word|keywords|keywords,ifeval,ai2-adapt-dev/tulu_v3.9_open_math_2_gsm8k_50k_38744,Low per-constraint M3 AUPRC region: first_word:first_word_sent
