direction,rank,feature,coefficient,decoded_feature
positive,1,18,4.9908447265625,.
positive,2,542 401 550,3.329232215881348,appear at least
positive,3,35,2.584245204925537,?
positive,4,35 624 339,1.9972715377807615,? There should
positive,5,401 550,1.9909157752990725,at least
positive,6,550,1.9765706062316892,least
positive,7,35 624,1.9357365369796755,? There
positive,8,35 520,1.886629343032837,? Your
positive,9,550 352 593,1.8107759952545168,least 2 letters
positive,10,268,1.805431842803955,the
positive,11,1938,1.7673251628875732,What
positive,12,896 18 1279,1.6688079833984375,general. All
positive,13,550 409 593,1.5208311080932615,least 3 letters
positive,14,5259,1.5110595226287842,hi
positive,15,35 349,1.4895367622375488,? The
positive,16,896 18 349,1.467953324317932,general. The
positive,17,566 352 483,1.403056263923645,than 2 times
positive,18,91 1885,1.399067997932434,when
positive,19,667 262,1.3358970880508425,Include a
positive,20,16 268 335,1.3307108879089355,", the word"
positive,21,1885,1.29534649848938,hen
positive,22,35 1398 303,1.2884467840194702,? Start and
positive,23,35 1398,1.2884467840194702,? Start
positive,24,18 1398 303,1.2787288427352903,. Start and
positive,25,1350,1.2473363876342771,commas
positive,26,1412,1.2459639310836792,palindrome
positive,27,550 340,1.2438033819198608,least 1
positive,28,401 550 340,1.2438033819198608,at least 1
positive,29,292 732,1.2327570915222168,of any
positive,30,1412 283,1.2215183973312378,palindrome in
positive,31,667 262 1412,1.2187374830245972,Include a palindrome
positive,32,1412 283 344,1.2187374830245972,palindrome in your
positive,33,262 1412 283,1.21212899684906,a palindrome in
positive,34,1350 18 349,1.194424033164978,commas. The
positive,35,732 1350,1.1924155950546265,any commas
positive,36,490 18,1.191415786743164,words.
positive,37,262 1412,1.1879101991653442,a palindrome
positive,38,18 1398,1.1771339178085327,. Start
positive,39,732 1350 18,1.1739022731781006,any commas.
positive,40,1350 18,1.161450982093811,commas.
positive,41,35 349 693,1.1544431447982788,? The last
positive,42,35 667 262,1.1497957706451416,? Include a
positive,43,1405,1.1294305324554443,exclamation
positive,44,401 550 409,1.121021032333374,at least 3
positive,45,1312 377,1.1167784929275513,! (
positive,46,1405 956,1.111586570739746,exclamation marks
positive,47,550 409,1.1097664833068848,least 3
positive,48,292 1312,1.108932614326477,of !
positive,49,956 13 363,1.1017543077468872,marks) as
positive,50,292 1312 377,1.1017543077468872,of ! (
positive,51,516 292 1312,1.1017543077468872,use of !
positive,52,1405 956 13,1.1017543077468872,exclamation marks)
positive,53,18 1405,1.1017543077468872,. exclamation
positive,54,1312 377 77,1.1017543077468872,! (i
positive,55,73 18 1405,1.1017543077468872,e. exclamation
positive,56,18 1405 956,1.1017543077468872,. exclamation marks
positive,57,335 292 344,1.0971910953521729,word of your
positive,58,956 13,1.0967679023742676,marks)
positive,59,292 732 1350,1.0891015529632568,of any commas
positive,60,344 328 339,1.0678815841674805,your response should
negative,1,477,-6.619427680969238,sentence
negative,2,530,-5.5381178855896,keyword
negative,3,335,-5.354294776916504,word
negative,4,283 344 328,-5.213200092315674,in your response
negative,5,17 379,-5.09887170791626,-th
negative,6,382 477,-5.091217994689941,each sentence
negative,7,335 283,-4.765371799468994,word in
negative,8,667 530,-4.613532066345215,Include keyword
negative,9,283 344,-4.42540168762207,in your
negative,10,566 352 593,-4.372972011566162,than 2 letters
negative,11,335 292 382,-4.044839859008789,word of each
negative,12,292 382 477,-4.043139457702637,of each sentence
negative,13,477 16,-4.001636028289795,"sentence,"
negative,14,566 409 593,-3.845256328582764,than 3 letters
negative,15,477 18,-3.780768632888794,sentence.
negative,16,335 292,-3.7506744861602783,word of
negative,17,16 444,-3.6682686805725098,", all"
negative,18,324 620,-3.609760046005249,with exactly
negative,19,781 335,-3.599856376647949,every word
negative,20,401 1045,-3.5886826515197754,at most
negative,21,948 490,-3.565384149551392,lowercase words
negative,22,948 490 339,-3.5623176097869877,lowercase words should
negative,23,490 339 542,-3.5623176097869877,words should appear
negative,24,16 444 948,-3.5623176097869877,", all lowercase"
negative,25,444 948 490,-3.5623176097869877,all lowercase words
negative,26,328 16 444,-3.5623176097869877,"response, all"
negative,27,542 401 1045,-3.5623176097869877,appear at most
negative,28,841 773 18,-3.52895450592041,square brackets.
negative,29,328 962,-3.5277702808380127,response within
negative,30,781 335 283,-3.526231527328491,every word in
negative,31,1432 781 335,-3.522756099700928,Enclose every word
negative,32,328 962 841,-3.522756099700928,response within square
negative,33,962 841 773,-3.522756099700928,within square brackets
negative,34,962 841,-3.522756099700928,within square
negative,35,344 328 962,-3.522756099700928,your response within
negative,36,1432 781,-3.522756099700928,Enclose every
negative,37,1432,-3.522591590881348,Enclose
negative,38,335 283 344,-3.522507905960083,word in your
negative,39,344 328 16,-3.489988088607788,"your response,"
negative,40,490 283,-3.470085620880127,words in
negative,41,490,-3.4531772136688232,words
negative,42,620,-3.440793752670288,exactly
negative,43,268 662,-3.4266140460968018,the phrase
negative,44,773 18,-3.4145395755767822,brackets.
negative,45,335 292 368,-3.3468048572540283,word of that
negative,46,17 379 335,-3.3468048572540283,-th word
negative,47,379 335 292,-3.3468048572540283,th word of
negative,48,477 16 363,-3.3468048572540283,"sentence, as"
negative,49,17 379 477,-3.3468048572540283,-th sentence
negative,50,379 335,-3.3353018760681152,th word
negative,51,292 368 477,-3.33520245552063,of that sentence
negative,52,379 477 16,-3.334448337554932,"th sentence,"
negative,53,379 477,-3.3296051025390625,th sentence
negative,54,368 477,-3.279388666152954,that sentence
negative,55,368 477 18,-3.26111364364624,that sentence.
negative,56,16 363 268,-3.217503309249878,", as the"
negative,57,16 324,-3.2155919075012207,", with"
negative,58,1034 18 520,-3.1054484844207764,allowed. Your
negative,59,344 328,-3.104337692260742,your response
negative,60,382 477 339,-3.089370012283325,each sentence should
